ticker,effective_date,sim_datetime,price,value
SPX,2025-01-31,2025-01-31 13:10:00,6152.500000,-21.074341
SPX,2025-01-31,2025-01-31 13:10:00,6155.000000,-25.713522
SPX,2025-01-31,2025-01-31 13:10:00,6157.500000,-29.305646
SPX,2025-01-31,2025-01-31 13:10:00,6160.000000,-31.187855
SPX,2025-01-31,2025-01-31 13:10:00,6162.500000,-30.792929
SPX,2025-01-31,2025-01-31 13:10:00,6165.000000,-27.729315
SPX,2025-01-31,2025-01-31 13:10:00,6167.500000,-21.849944
SPX,2025-01-31,2025-01-31 13:10:00,6170.000000,-13.299130
SPX,2025-01-31,2025-01-31 13:10:00,6172.500000,-2.527840
SPX,2025-01-31,2025-01-31 13:10:00,6175.000000,9.729422
SPX,2025-01-31,2025-01-31 13:10:00,6177.500000,22.517854
SPX,2025-01-31,2025-01-31 13:10:00,6180.000000,34.761036
SPX,2025-01-31,2025-01-31 13:10:00,6182.500000,45.383775
SPX,2025-01-31,2025-01-31 13:10:00,6185.000000,53.442578
SPX,2025-01-31,2025-01-31 13:10:00,6187.500000,58.244529
SPX,2025-01-31,2025-01-31 13:10:00,6190.000000,59.436204
SPX,2025-01-31,2025-01-31 13:10:00,6192.500000,57.048557
SPX,2025-01-31,2025-01-31 13:10:00,6195.000000,51.490650
SPX,2025-01-31,2025-01-31 13:10:00,6197.500000,43.493467
SPX,2025-01-31,2025-01-31 13:10:00,6200.000000,34.012900
SPX,2025-01-31,2025-01-31 13:15:00,6235.000000,29.731984
SPX,2025-01-31,2025-01-31 13:15:00,6232.500000,27.602476
SPX,2025-01-31,2025-01-31 13:15:00,6230.000000,23.926156
SPX,2025-01-31,2025-01-31 13:15:00,6227.500000,18.997358
SPX,2025-01-31,2025-01-31 13:15:00,6225.000000,13.286196
SPX,2025-01-31,2025-01-31 13:15:00,6222.500000,7.410464
SPX,2025-01-31,2025-01-31 13:15:00,6220.000000,2.083923
SPX,2025-01-31,2025-01-31 13:15:00,6217.500000,-1.956508
SPX,2025-01-31,2025-01-31 13:15:00,6215.000000,-4.038326
SPX,2025-01-31,2025-01-31 13:15:00,6212.500000,-3.645842
SPX,2025-01-31,2025-01-31 13:15:00,6210.000000,-0.504787
SPX,2025-01-31,2025-01-31 13:15:00,6207.500000,5.354405
SPX,2025-01-31,2025-01-31 13:15:00,6205.000000,13.566976
SPX,2025-01-31,2025-01-31 13:15:00,6202.500000,23.446558
SPX,2025-01-31,2025-01-31 13:15:00,5905.000000,1.302313
SPX,2025-01-31,2025-01-31 13:15:00,5907.500000,1.417243
SPX,2025-01-31,2025-01-31 13:15:00,5910.000000,1.525944
SPX,2025-01-31,2025-01-31 13:15:00,5912.500000,1.671480
SPX,2025-01-31,2025-01-31 13:15:00,5915.000000,1.901090
SPX,2025-01-31,2025-01-31 13:15:00,5917.500000,2.263714
SPX,2025-01-31,2025-01-31 13:15:00,5920.000000,2.806685
SPX,2025-01-31,2025-01-31 13:15:00,5922.500000,3.571857
SPX,2025-01-31,2025-01-31 13:15:00,5925.000000,4.591521
SPX,2025-01-31,2025-01-31 13:15:00,5927.500000,5.884536
SPX,2025-01-31,2025-01-31 13:15:00,5930.000000,7.453118
SPX,2025-01-31,2025-01-31 13:15:00,5932.500000,9.280689
SPX,2025-01-31,2025-01-31 13:15:00,5935.000000,11.331069
SPX,2025-01-31,2025-01-31 13:15:00,5937.500000,13.549194
SPX,2025-01-31,2025-01-31 13:15:00,5940.000000,15.863387
SPX,2025-01-31,2025-01-31 13:15:00,5942.500000,18.189028
SPX,2025-01-31,2025-01-31 13:15:00,5945.000000,20.433327
SPX,2025-01-31,2025-01-31 13:15:00,5947.500000,22.500750
